Medida;Unidad;13007;12491;12127;11579;101510
HIERRO;ppm;27,3;22,4;24,1;23;26,67
CROMO;ppm;0,73;0,66;0,63;0,61;0,63
ALUMINIO;ppm;20,1;16,9;9,29;9;46,36
COBRE;ppm;1,96;2,02;1,6;1,51;1,71
PLOMO;ppm;n.d.;n.d.;0,54;n.d.;n.d.
ESTAÑO;ppm;n.d.;n.d.;n.d.;n.d.;n.d.
MANGANESO;ppm;2,01;1,95;2,05;1,95;2,72
VISCOSIDAD 40ºC;cSt;152,8;151;153;154,7;154,6
VISCOSIDAD 100ºC;cSt;15;15,01;15,02;15,23;15,14
TBN;mg KOH/g;20,9;20,9;21;20,7;21,5
MATERIA CARBONOSA;a/d %;0,2;0,1;----;0,1;0,1
SILICIO;ppm;10,8;11,5;12,1;12,2;11,2
AGUA;a/d %;<0,1;<0,1;<0,1;<0,1;<0,1
CLORUROS;ppm;<20;<20;<20;<20;<20
NIQUEL;ppm;54,4;48,7;48;40,6;43,25
VANADIO;ppm;158;134;141;141;149,6
SODIO;ppm;30,8;29,6;33,2;27,3;23,32
BARIO;ppm;0,53;0,52;n.d.;n.d.;0,57
BORO;ppm;0,65;n.d.;1,15;0,77;0,61
CALCIO;ppm;10900;10700;10700;10200;11730
FOSFORO;ppm;377;350;351;341;359,8
ZINC;ppm;373;358;352;370;404,6
MAGNESIO;ppm;26,2;25,4;26,9;25,3;26,86
